population_code	description	super_population_code	n_exac
ACB	African Caribbeans in Barbados	AFR	2267
ASW	Americans of African Ancestry in SW USA	AFR	2151
BEB	Bengali from Bangladesh	SAS	483
CDX	Chinese Dai in Xishuangbanna, China	EAS	19
CEU	Utah Residents (CEPH) with Northern and Western European ancestry	EUR	14185
CHB	Han Chinese in Beijing, China	EAS	1553
CHS	Southern Han Chinese	EAS	1733
CLM	Colombians from Medellin, Colombia	AMR	870
ESN	Esan in Nigeria	AFR	89
FIN	Finnish in Finland	EUR	3977
GBR	British in England and Scotland	EUR	10358
GIH	Gujarati Indian from Houston, Texas	SAS	79
GWD	Gambian in Western Divisions in The Gambia	AFR	102
IBS	Iberian population in Spain	EUR	3534
ITU	Indian Telugu from the UK	SAS	1089
JPT	Japanese in Tokyo, Japan	EAS	663
KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	369
LWK	Luhya in Webuye, Kenya	AFR	72
MSL	Mende in Sierra Leone	AFR	189
MXL	Mexican Ancestry from Los Angeles USA	AMR	2658
PEL	Peruvians from Lima, Peru	AMR	1900
PJL	Punjabi from Lahore, Pakistan	SAS	6300
PUR	Puerto Ricans from Puerto Rico	AMR	579
STU	Sri Lankan Tamil from the UK	SAS	460
TSI	Toscani in Italia	EUR	4795
YRI	Yoruba in Ibadan, Nigeria	AFR	232
